DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,13,9,0.0129,0.0175,NA,NA,14,9,0.0073
SEP,13,10,0.0266,0.0171,NA,NA,15,NA,0.0066
SEP,13,11,0.0368,0.019,NA,NA,15,NA,0.0032
SEP,13,12,0.0353,0.0215,NA,NA,12,NA,0.0047
SEP,13,13,0.0392,0.0243,NA,NA,10,4,0.0033
SEP,13,14,0.0407,0.0274,NA,NA,7,5,0.0031
SEP,13,15,0.0409,0.031,NA,NA,7,6,0.0031
SEP,13,16,0.0416,0.0342,NA,NA,9,7,0.0026
SEP,13,17,0.0408,0.0377,NA,NA,9,8,0.0031
SEP,13,18,0.0416,0.0396,NA,NA,9,8,0.0031
SEP,13,19,0.0394,0.0399,NA,NA,11,8,0.0055
SEP,13,20,0.0329,0.0397,NA,NA,13,8,0.0087
SEP,13,21,0.0333,0.0389,NA,NA,12,8,0.0066
SEP,13,22,0.0343,0.0381,NA,NA,15,7,0.0051
SEP,13,23,0.0285,0.0366,NA,NA,13,9,0.0084
SEP,14,0,0.0264,0.0347,NA,NA,21,14,NA
SEP,14,1,0.0267,0.0329,NA,NA,24,18,NA
SEP,14,2,0.0282,0.0312,NA,NA,19,17,NA
SEP,14,3,0.0303,0.0301,NA,NA,14,15,NA
SEP,14,4,0.0276,0.0294,NA,NA,16,12,NA
SEP,14,5,0.0275,0.0287,NA,NA,17,14,0.0061
SEP,14,6,0.0245,0.0275,NA,NA,17,14,0.0092
SEP,14,7,0.0163,0.0259,NA,NA,25,17,0.0166
SEP,14,8,0.0194,0.0251,NA,NA,25,22,0.0149
SEP,14,9,0.0329,0.0258,NA,NA,23,18,0.0101
SEP,14,10,0.04,0.0273,NA,NA,22,15,0.0053
SEP,14,11,0.0438,0.029,NA,NA,17,13,0.0058
SEP,14,12,0.0473,0.0315,NA,NA,19,12,0.005
SEP,14,13,0.05,0.0343,NA,NA,19,15,0.0034
SEP,14,14,0.0503,0.0375,NA,NA,17,14,0.0058
SEP,14,15,0.0508,0.0418,NA,NA,18,17,0.0063
SEP,14,16,0.0526,0.046,NA,NA,17,17,0.006
SEP,14,17,0.0504,0.0481,NA,NA,20,17,0.0068
SEP,14,18,0.0482,0.0492,0.0312,NA,24,16,0.0056
SEP,14,19,0.0413,0.0489,0.0312,NA,20,14,0.0053
SEP,14,20,0.038,0.0477,0.0312,NA,20,16,0.0062
SEP,14,21,0.032,0.0454,0.033,NA,20,13,NA
SEP,14,22,0.0331,0.0433,0.033,NA,21,15,NA
SEP,14,23,0.0345,0.0413,0.0325,NA,15,11,0.0055
SEP,15,0,0.0284,0.0383,0.0334,NA,19,14,0.0075
SEP,15,1,0.029,0.0356,0.0332,NA,21,19,NA
SEP,15,2,0.0274,0.033,0.0323,NA,20,17,NA
SEP,15,3,0.0263,0.0311,0.0273,NA,19,19,NA
SEP,15,4,0.0231,0.0292,0.0272,NA,14,18,0.0084
SEP,15,5,0.0255,0.0284,0.0296,NA,14,19,0.0069
SEP,15,6,0.0276,0.0277,0.0337,NA,11,13,NA
SEP,15,7,0.0261,0.0267,0.0336,NA,12,11,0.0083
SEP,15,8,0.0227,0.026,0.0334,NA,10,11,0.0115
SEP,15,9,0.0241,0.0253,0.0312,NA,16,13,0.0118
SEP,15,10,0.0304,0.0257,0.0299,NA,18,18,0.0084
SEP,15,11,0.0367,0.027,0.0299,NA,15,15,0.0042
SEP,15,12,0.0397,0.0291,0.0291,NA,14,13,0.004
SEP,15,13,0.0438,0.0314,0.0304,NA,13,12,NA
SEP,15,14,0.0361,0.0325,0.0314,NA,12,12,0.0062
SEP,15,15,0.0445,0.0348,NA,NA,11,8,0.0043
SEP,15,16,0.0442,0.0374,NA,NA,9,7,0.0044
SEP,15,17,0.0437,0.0399,NA,NA,10,7,0.0053
SEP,15,18,0.039,0.041,NA,NA,16,7,0.0075
SEP,15,19,0.0308,0.0402,NA,NA,20,7,0.0118
SEP,15,20,0.0237,0.0382,NA,NA,16,8,0.0156
SEP,15,21,0.029,0.0364,NA,NA,14,9,0.0059
SEP,15,22,0.0253,0.035,NA,NA,17,8,0.0056
SEP,15,23,0.0311,0.0333,NA,NA,15,8,0.0036
SEP,16,0,0.0311,0.0317,NA,NA,9,8,0.0033
