DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,13,11,0.049667966,0.023926416,0.018051278,0.675971125,45,30
MARZO,13,12,0.057455117,0.02875897,0.018189924,0.697727125,38,29
MARZO,13,13,0.057664167,0.032957925,0.018197653,0.720349875,36,26
MARZO,13,14,0.0519154,0.036208031,0.018188557,0.739802875,34,23
MARZO,13,15,0.058664983,0.041583508,0.018180392,0.70659775,30,22
MARZO,13,16,0.060177733,0.048108349,0.018170029,0.591981625,31,23
MARZO,13,17,0.058798233,0.053740065,0.018164263,0.492498125,33,24
MARZO,13,18,0.039221367,0.054195621,0.018155076,0.46768625,63,25
MARZO,13,19,0.03655055,0.052555944,0.018143765,0.487276125,64,27
MARZO,13,20,0.03121185,0.049275535,0.018176695,0.50933525,55,32
MARZO,13,21,0.033347333,0.046235931,0.017473636,0.514520625,43,33
MARZO,13,22,0.029676583,0.043456079,0.018752974,0.504371875,39,29
MARZO,13,23,0.036671983,0.040706954,0.019207316,0.49870575,46,28
MARZO,14,0,0.03343775,0.037364456,0.01835702,0.494904375,40,28
MARZO,14,1,0.03661655,0.034591746,0.015263671,0.48530775,37,25
MARZO,14,2,0.029909633,0.033427779,0.01123259,0.468608375,29,21
MARZO,14,3,0.02143723,0.031538614,0.010606493,0.4351545,26,20
MARZO,14,4,0.006944297,0.02850517,0.010628718,0.396551625,26,18
MARZO,14,5,0.00901942,0.025464181,0.010680688,0.38209125,28,16
MARZO,14,6,0.016282647,0.023789939,0.010626981,0.376250625,34,19
MARZO,14,7,0.011047,0.020586816,0.010464659,0.406183375,35,19
MARZO,14,8,0.02223,0.019185847,0.010698054,0.504783125,43,19
MARZO,14,9,0.028202,0.018134028,0.012278896,0.5478085,45,25
MARZO,14,10,0.030452,0.018201824,0.012527731,0.5867145,47,31
MARZO,14,11,0.037589417,0.020220848,0.01238811,0.623245125,42,33
MARZO,14,12,0.045575233,0.025049715,0.012351218,0.642253875,36,32
MARZO,14,13,0.054196233,0.030696816,0.012407116,0.65444325,33,29
MARZO,14,14,0.05477135,0.035507904,0.012463825,0.68037825,34,28
MARZO,14,15,0.055638033,0.041081783,0.012498039,0.670469125,33,27
MARZO,14,16,0.056778367,0.045400329,0.012528815,0.594319375,33,28
MARZO,14,17,0.053582767,0.048572925,0.012553278,0.57083025,32,28
MARZO,14,18,0.04485335,0.050373094,0.012571102,0.561474,32,26
MARZO,14,19,0.0390517,0.050555879,0.012596236,0.544945,38,25
MARZO,14,20,0.03075255,0.048703044,0.012591327,0.54760725,39,26
MARZO,14,21,0.02826675,0.045461858,0.012617948,0.545404125,39,27
MARZO,14,22,0.03368665,0.042826271,0.011160745,0.52538575,34,26
MARZO,14,23,0.035242517,0.040276831,0.010721288,0.527238625,32,22
MARZO,15,0,0.031341267,0.037097194,0.008293275,0.504189625,28,18
MARZO,15,1,0.028734717,0.033991188,0.00988808,0.476169375,29,18
MARZO,15,2,0.029679817,0.032094496,0.011794472,0.43328275,28,20
MARZO,15,3,0.02631,0.030501784,0.016478057,0.401577125,29,22
MARZO,15,4,0.025955167,0.029902111,0.020136935,0.62789925,32,26
MARZO,15,5,0.028140533,0.029886334,0.025186922,0.6119925,32,28
MARZO,15,6,0.027001583,0.0290507,0.029840338,0.589235375,36,30
MARZO,15,7,0.031679467,0.028605319,0.040291643,0.5732945,32,31
MARZO,15,8,0.02202865,0.027441242,0.042910228,0.59401925,28,29
