DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,2,11,0.0239,0.0081,0.0216,74,35,0.0095
ENE,2,12,0.0305,0.0114,0.0220,52,28,0.0099
ENE,2,13,0.0372,0.0156,0.0221,34,30,0.008
ENE,2,14,0.0426,0.0205,0.0221,36,27,0.0044
ENE,2,15,0.0446,0.0255,0.0222,50,21,0.0038
ENE,2,16,0.0439,0.0305,0.0222,47,20,0.0047
ENE,2,17,0.0459,0.0354,0.0221,31,18,0.0041
ENE,2,18,0.0464,0.0394,0.0222,32,17,0.0059
ENE,2,19,0.026,0.0396,0.0222,48,14,0.0213
ENE,2,20,0.0092,0.0370,0.0222,75,17,0.0336
ENE,2,21,0.0109,0.0337,0.0223,112,32,0.0347
ENE,2,22,0.0074,0.0293,0.0224,147,62,0.0323
ENE,2,23,0.0094,0.0249,0.0224,133,59,0.0314
ENE,3,0,0.0292,0.0231,0.0226,175,63,0.0284
ENE,3,1,0.0155,0.0193,0.0227,198,85,0.0255
ENE,3,2,0.0062,0.0142,0.0233,208,97,0.0249
ENE,3,3,0.0051,0.0116,0.0245,164,88,0.0197
ENE,3,4,0.0079,0.0115,0.0248,134,70,0.0169
ENE,3,5,0.0081,0.0111,0.0256,105,61,0.0171
ENE,3,6,0.0086,0.0113,0.0263,93,47,0.0154
ENE,3,7,0.0055,0.0108,0.0261,85,41,0.0174
ENE,3,8,0.0065,0.0079,0.0256,85,40,0.0184
ENE,3,9,0.0102,0.0073,0.0216,95,47,0.0171
ENE,3,10,0.0132,0.0081,0.0218,88,51,0.0142
ENE,3,11,0.0238,0.0105,0.0227,85,44,0.0142
ENE,3,12,0.0396,0.0144,0.0226,68,45,0.0084
ENE,3,13,0.0479,0.0194,0.0230,48,43,0.0057
ENE,3,14,0.055,0.0252,0.0233,39,32,0.0062
ENE,3,15,0.0514,0.0310,0.0234,38,28,0.0047
ENE,3,16,0.0476,0.0361,0.0234,34,26,0.0047
ENE,3,17,0.0462,0.0406,0.0234,33,25,0.0047
ENE,3,18,0.0393,0.0439,0.0234,31,21,0.0058
ENE,3,19,0.018,0.0431,0.0234,47,17,0.02
ENE,3,20,0.005,0.0388,0.0234,78,21,0.0299
ENE,3,21,0.005,0.0334,0.0233,102,30,0.0265
ENE,3,22,0.0058,0.0273,0.0233,108,31,0.0261
ENE,3,23,0.0049,0.0215,0.0236,151,50,0.0268
ENE,4,0,0.0042,0.0161,0.0235,168,79,0.0233
ENE,4,1,0.0036,0.0107,0.0234,189,90,0.0216
ENE,4,2,0.0018,0.0060,0.0230,177,90,0.0214
ENE,4,3,0.0008,0.0039,0.0222,151,78,0.0223
ENE,4,4,0.0026,0.0036,0.0219,114,58,0.0215
ENE,4,5,0.0034,0.0034,0.0224,99,39,0.0206
ENE,4,6,0.0021,0.0029,0.0225,104,38,0.0198
ENE,4,7,0.0015,0.0025,0.0223,105,38,0.0207
ENE,4,8,0.0018,0.0022,0.0223,112,37,0.0218
ENE,4,9,0.0041,0.0023,0.0224,123,46,0.0209
ENE,4,10,0.0112,0.0034,0.0225,113,50,0.0175
ENE,4,11,0.0214,0.0060,0.0221,87,45,0.0137
ENE,4,12,0.0331,0.0098,0.0222,65,45,0.0096
ENE,4,13,0.0399,0.0144,0.0221,44,35,0.0085
ENE,4,14,0.0439,0.0196,0.0218,38,28,0.0069
ENE,4,15,0.0469,0.0253,0.0218,33,26,0.0052
ENE,4,16,0.0473,0.0310,0.0218,30,23,0.0057
ENE,4,17,0.0491,0.0366,0.0218,27,19,0.0055
ENE,4,18,0.0489,0.0413,0.0218,32,18,0.0068
ENE,4,19,0.0199,0.0411,0.0219,59,18,0.027
ENE,4,20,0.006,0.0377,0.0219,122,22,0.0404
ENE,4,21,0.0056,0.0335,0.0220,204,40,0.0391
ENE,4,22,0.0057,0.0287,0.0220,242,59,0.0376
ENE,4,23,0.0064,0.0236,0.0220,186,68,0.0327
ENE,5,0,0.0079,0.0187,0.0222,154,63,0.0306
ENE,5,1,0.0081,0.0136,0.0222,120,58,0.0263
ENE,5,2,0.0138,0.0092,0.0221,93,47,0.0159
ENE,5,3,0.0153,0.0086,0.0223,69,33,0.0117
ENE,5,4,0.0162,0.0099,0.0230,63,25,0.0108
ENE,5,5,0.0126,0.0108,0.0221,57,21,0.0135
ENE,5,6,0.0036,0.0105,0.0216,58,18,0.0218
ENE,5,7,0.0027,0.0100,0.0214,63,25,0.0229
ENE,5,8,0.0032,0.0094,0.0212,73,21,0.0236
ENE,5,9,0.0073,0.0093,0.0220,80,23,0.0221
ENE,5,10,0.0107,0.0090,0.0221,88,31,0.0226
ENE,5,11,0.02,0.0095,0.0223,91,38,0.0204
ENE,5,12,0.0342,0.0118,0.0221,68,37,0.0123
ENE,5,13,0.0431,0.0156,0.0220,56,32,0.0114
ENE,5,14,0.0477,0.0211,0.0219,54,32,0.0099
ENE,5,15,0.0566,0.0279,0.0219,41,30,0.0076
ENE,5,16,0.0605,0.0350,0.0219,39,30,0.008
